Date,Home,Gas ,Beef ,Pork
1/1/70,24002.01,0.36,98.50,81.40
2/1/70,24170.00,0.36,98.30,81.10
3/1/70,24296.00,0.36,100.60,80.70
4/1/70,24400.99,0.36,101.10,79.30
5/1/70,24589.99,0.36,100.70,79.40
6/1/70,24757.98,0.36,99.80,79.40
7/1/70,24820.98,0.36,102.00,80.00
8/1/70,25051.97,0.36,101.70,79.10
9/1/70,25303.96,0.36,100.20,76.10
10/1/70,25429.95,0.36,99.30,74.00
11/1/70,25576.95,0.36,99.10,70.20
12/1/70,25723.94,0.36,98.00,67.90
1/1/71,25786.94,0.36,98.80,67.90
2/1/71,25723.94,0.36,102.90,68.90
3/1/71,25723.94,0.36,104.00,69.40
4/1/71,25807.94,0.36,105.80,68.20
5/1/71,25996.93,0.36,106.80,67.70
6/1/71,26269.92,0.36,107.60,69.10
7/1/71,26311.92,0.36,106.80,70.90
8/1/71,26395.91,0.36,107.70,71.10
9/1/71,26458.91,0.36,108.00,70.50
10/1/71,26542.91,0.36,107.20,70.80
11/1/71,26752.90,0.36,108.50,70.90
12/1/71,26815.90,0.36,110.80,72.40
1/1/72,26899.89,0.36,114.00,75.80
2/1/72,26962.89,0.36,118.40,80.80
3/1/72,26941.89,0.36,118.50,78.90
4/1/72,26983.89,0.36,114.60,77.70
5/1/72,27067.88,0.36,114.10,78.90
6/1/72,27235.88,0.36,116.30,81.50
7/1/72,27508.87,0.36,120.20,85.10
8/1/72,27613.86,0.36,118.70,85.50
9/1/72,27592.86,0.36,115.90,86.10
10/1/72,27571.86,0.36,115.80,87.00
11/1/72,27592.86,0.36,115.40,86.70
12/1/72,27613.86,0.36,117.80,88.00
1/1/73,27550.86,0.39,125.50,93.60
2/1/73,27550.86,0.39,134.00,96.60
3/1/73,27571.86,0.39,139.30,102.50
4/1/73,27571.86,0.39,140.00,102.20
5/1/73,27634.86,0.39,140.10,101.90
6/1/73,27697.86,0.39,139.60,103.60
7/1/73,27676.86,0.39,140.60,107.00
8/1/73,27928.85,0.39,148.70,130.90
9/1/73,28033.84,0.39,149.50,125.70
10/1/73,28243.84,0.39,140.40,116.50
11/1/73,28369.83,0.39,139.40,114.80
12/1/73,28558.82,0.39,138.90,115.20
1/1/74,28789.81,0.53,147.80,116.20
2/1/74,29020.80,0.53,155.10,116.70
3/1/74,29335.79,0.53,147.20,111.40
4/1/74,29440.79,0.53,141.20,104.30
5/1/74,29587.78,0.53,139.90,99.00
6/1/74,29755.77,0.53,136.90,93.30
7/1/74,29902.77,0.53,143.00,103.30
8/1/74,30175.76,0.53,148.70,108.30
9/1/74,30469.74,0.53,147.00,109.50
10/1/74,30721.73,0.53,142.00,108.50
11/1/74,30952.72,0.53,139.70,111.00
12/1/74,31435.70,0.53,137.30,112.30
1/1/75,32033.50,0.57,138.10,114.60
2/1/75,32086.75,0.57,134.20,114.50
3/1/75,32169.16,0.57,132.20,113.30
4/1/75,32222.41,0.57,139.40,115.40
5/1/75,32318.77,0.57,154.00,122.60
6/1/75,32298.49,0.57,164.50,130.10
7/1/75,32472.18,0.57,167.90,143.30
8/1/75,32664.89,0.57,162.20,149.70
9/1/75,32994.54,0.57,159.50,153.30
10/1/75,33239.23,0.57,159.10,158.20
11/1/75,33475.05,0.57,158.00,153.50
12/1/75,33570.14,0.57,157.40,147.10
1/1/76,33693.12,0.59,155.40,143.90
2/1/76,33757.78,0.59,149.20,141.30
3/1/76,34054.46,0.59,141.50,138.40
4/1/76,34395.51,0.59,148.60,136.30
5/1/76,34801.22,0.59,148.50,138.30
6/1/76,34908.99,0.59,147.50,140.10
7/1/76,35196.79,0.59,145.00,141.80
8/1/76,35426.27,0.59,142.40,137.10
9/1/76,35681.11,0.59,141.00,132.40
10/1/76,35797.75,0.59,140.20,124.60
11/1/76,36005.68,0.59,142.60,117.30
12/1/76,36304.89,0.59,146.00,117.00
1/1/77,36606.64,0.62,144.60,119.50
2/1/77,37036.44,0.62,141.60,121.00
3/1/77,37566.40,0.62,140.30,120.90
4/1/77,38234.56,0.62,141.10,118.80
5/1/77,38707.47,0.62,145.90,120.80
6/1/77,39000.34,0.62,144.80,125.60
7/1/77,39402.25,0.62,145.90,132.00
8/1/77,39801.62,0.62,146.90,130.20
9/1/77,40322.71,0.62,146.70,130.70
10/1/77,40829.85,0.62,149.40,126.80
11/1/77,41252.04,0.62,149.90,127.40
12/1/77,41624.79,0.62,153.10,130.50
1/1/78,42044.45,0.63,156.80,133.80
2/1/78,42516.09,0.63,159.00,138.00
3/1/78,43108.18,0.63,164.20,139.20
4/1/78,43673.64,0.63,173.00,141.60
5/1/78,44273.33,0.63,182.70,141.40
6/1/78,44940.22,0.63,191.90,144.20
7/1/78,45572.88,0.63,188.30,144.20
8/1/78,46173.84,0.63,186.10,144.40
9/1/78,46658.16,0.63,184.20,145.50
10/1/78,47110.78,0.63,184.40,149.40
11/1/78,47605.24,0.63,184.60,150.40
12/1/78,48169.44,0.63,190.30,150.50
1/1/79,48813.50,0.86,201.40,163.14
2/1/79,49427.14,0.86,211.60,166.21
3/1/79,50082.62,0.86,222.10,166.00
4/1/79,50733.03,0.86,228.80,159.44
5/1/79,51391.04,0.86,236.10,157.96
6/1/79,52041.45,0.86,229.60,152.88
7/1/79,52624.66,0.86,228.30,150.66
8/1/79,53154.62,0.86,217.10,143.78
9/1/79,53604.71,0.86,222.70,143.46
10/1/79,54080.15,0.86,220.50,142.09
11/1/79,54468.12,0.86,222.40,139.87
12/1/79,54796.49,0.86,228.60,144.21
1/1/80,55074.15,1.19,230.50,143.15
2/1/80,55392.38,1.19,230.80,140.93
3/1/80,55865.29,1.19,232.20,141.03
4/1/80,56388.91,1.19,229.30,135.21
5/1/80,56788.28,1.19,226.50,130.77
6/1/80,57133.14,1.19,226.70,131.62
7/1/80,57529.97,1.19,233.80,144.10
8/1/80,57865.95,1.19,238.10,154.15
9/1/80,58147.42,1.19,240.70,159.44
10/1/80,58387.04,1.19,237.50,161.66
11/1/80,58621.59,1.19,238.20,165.37
12/1/80,58853.61,1.19,238.80,162.72
1/1/81,59034.91,1.31,235.40,160.29
2/1/81,59272.00,1.31,233.50,157.01
3/1/81,59625.73,1.31,231.60,154.68
4/1/81,60156.96,1.31,227.00,150.98
5/1/81,60575.35,1.31,230.30,153.30
6/1/81,60967.12,1.31,234.80,155.10
7/1/81,61280.27,1.31,238.80,163.88
8/1/81,61594.70,1.31,238.60,167.27
9/1/81,61711.34,1.31,239.70,168.75
10/1/81,61795.02,1.31,237.40,169.70
11/1/81,61798.83,1.31,234.90,167.38
12/1/81,61848.27,1.31,234.00,166.53
1/1/82,61890.11,1.22,232.90,167.38
2/1/82,61990.27,1.22,234.00,170.02
3/1/82,61956.04,1.22,233.00,170.76
4/1/82,62037.18,1.22,236.30,172.45
5/1/82,62118.32,1.22,242.30,179.44
6/1/82,62113.25,1.22,250.30,185.57
7/1/82,62096.77,1.22,247.50,191.60
8/1/82,62068.88,1.22,242.70,194.14
9/1/82,62090.43,1.22,241.90,201.34
10/1/82,62091.70,1.22,234.60,201.97
11/1/82,62095.50,1.22,233.10,197.85
12/1/82,62200.73,1.22,231.70,194.14
1/1/83,62408.66,1.16,232.90,195.73
2/1/83,62733.23,1.16,234.60,193.93
3/1/83,62993.14,1.16,234.10,191.18
4/1/83,63317.71,1.16,240.30,183.99
5/1/83,63635.94,1.16,242.50,181.02
6/1/83,63947.83,1.16,240.00,177.96
7/1/83,64312.97,1.16,237.90,176.26
8/1/83,64598.24,1.16,234.50,175.31
9/1/83,64770.67,1.16,230.70,173.41
10/1/83,64892.38,1.16,227.90,171.71
11/1/83,64981.13,1.16,227.20,168.22
12/1/83,65151.02,1.16,226.40,167.27
1/1/84,65341.20,1.13,235.20,171.61
2/1/84,65551.66,1.13,239.80,172.35
3/1/84,65850.88,1.13,240.40,168.65
4/1/84,66219.82,1.13,240.60,169.07
5/1/84,66636.94,1.13,237.80,167.80
6/1/84,67021.10,1.13,235.60,169.17
7/1/84,67391.31,1.13,232.30,171.61
8/1/84,67714.61,1.13,233.10,175.73
9/1/84,67914.94,1.13,231.20,173.09
